regId;address;factoryId;model
0000292532034264;420107, г.Казань, ул.Петербургская, д.1;009000211;СПАРК-115-Ф
0000292580048663;420107, г.Казань, ул.Петербургская, д.1;009000226;СПАРК-115-Ф
0000292657064321;420107, г.Казань, ул.Петербургская, д.1;009000227;СПАРК-115-Ф
0000387930040064;191123, Санкт-Петербург г, пр-кт.Чернышевского, д.17, лит.А;009110082;СПАРК-115-Ф
0000388157039081;191123, Санкт-Петербург г, пр-кт.Чернышевского, д.17, лит.А;009110084;СПАРК-115-Ф
0000388255006701;191123, Санкт-Петербург г, пр-кт.Чернышевского, д.17, лит.А;009110086;СПАРК-115-Ф
0000388280064957;191123, Санкт-Петербург г, пр-кт.Чернышевского, д.17, лит.А;009110087;СПАРК-115-Ф
0000338599036171;195274, Санкт-Петербург г, пр-кт.Культуры, д.7, лит.А;009110048;СПАРК-115-Ф
0000338895047064;195274, Санкт-Петербург г, пр-кт.Культуры, д.7, лит.А;009110046;СПАРК-115-Ф
0000338990002695;195274, Санкт-Петербург г, пр-кт.Культуры, д.7, лит.А;009110042;СПАРК-115-Ф
0000339013006710;195274, Санкт-Петербург г, пр-кт.Культуры, д.7, лит.А;009110045;СПАРК-115-Ф
0000339030037978;195274, Санкт-Петербург г, пр-кт.Культуры, д.7, лит.А;009110047;СПАРК-115-Ф
0000339176065430;195274, Санкт-Петербург г, пр-кт.Культуры, д.7, лит.А;009110043;СПАРК-115-Ф
0000338947038505;195274, Санкт-Петербург г, пр-кт.Культуры, д.7, лит.А;009110044;СПАРК-115-Ф
0000347843039562;143441, Московская обл, Красногорский р-н, д.Путилково, км.МКАД 71, стр.16А;009010218;СПАРК-115-Ф
0000347944048485;143441, Московская обл, Красногорский р-н, д.Путилково, км.МКАД 71, стр.16А;009010215;СПАРК-115-Ф
0000347908062631;143441, Московская обл, Красногорский р-н, д.Путилково, км.МКАД 71, стр.16А;009010217;СПАРК-115-Ф
0000347924062907;143441, Московская обл, Красногорский р-н, д.Путилково, км.МКАД 71, стр.16А;009010216;СПАРК-115-Ф
0000361999035361;197374, Санкт-Петербург г, дор.Торфяная, д.7, лит.В;009110073;СПАРК-115-Ф
0000362252030922;197374, Санкт-Петербург г, дор.Торфяная, д.7, лит.В;009110074;СПАРК-115-Ф
0000361850057104;197374, Санкт-Петербург г, дор.Торфяная, д.7, лит.В;009110075;СПАРК-115-Ф
